,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
89,OnlookerBee,2.0,1,12.0,input|sep3x3_32|sep3x3_32|batch_norm|batch_norm|avg_pool3x3|output,0.38499999046325684,0.38499999046325684,1.0,30025930.0,e2d37adfd3640c5171b3f3b6c16dc7704ff86e0c.h5,74.87354326248169
90,OnlookerBee,3.0,1,12.0,input|sep3x3_32|sep3x3_32|batch_norm|sep3x3_32|avg_pool3x3|output,0.1551000028848648,0.38499999046325684,1.0,30027210.0,12b692ec6b705722e23c3b1685f8b1e8486b65a4.h5,75.34236359596252
91,EmployeeBee,0.0,-,13.0,input|max_pool3x3|sep3x3_64|sep5x5_128|max_pool3x3|sep3x3_32|output,0.7038999795913696,0.7038999795913696,5.0,30040714.0,3d2926e52bef328828b8843791c8abf15fff8cfa.h5,387.0139410495758
92,EmployeeBee,1.0,-,13.0,input|sep3x3_64|sep5x5_32|avg_pool3x3|dropout|max_pool3x3|output,0.6725000143051147,0.6725000143051147,5.0,30029194.0,9b85f501c57d5e628910d8e731a1a5f191e88a8a.h5,377.85659861564636
93,EmployeeBee,2.0,-,13.0,input|sep5x5_64|sep3x3_64|max_pool3x3|sep5x5_64|sep5x5_32|output,0.6245999932289124,0.6245999932289124,4.0,30040202.0,9247ad79a47c4a26a0da13a8acc23d77d5ef4e26.h5,306.64242792129517
94,OnlookerBee,0.0,1,13.0,input|sep3x3_64|sep5x5_32|avg_pool3x3|batch_norm|max_pool3x3|output,0.645799994468689,0.6725000143051147,5.0,30029258.0,9c3b138a42247cb659735cb1f76ab5f32e8ce492.h5,377.1400291919708
95,OnlookerBee,1.0,1,13.0,input|sep3x3_64|sep3x3_32|avg_pool3x3|dropout|max_pool3x3|output,0.6365000009536743,0.6725000143051147,5.0,30028170.0,c38e6db033eba5eb6d8d34ddd431fafde8d5c68a.h5,394.0743727684021
96,OnlookerBee,2.0,2,13.0,input|sep3x3_128|sep3x3_64|max_pool3x3|sep5x5_64|sep5x5_32|output,0.6674000024795532,0.6674000024795532,5.0,30046474.0,f3fe0dd00e0df8a2fbc3be0fdb628fbb34e2691c.h5,406.8466863632202
97,OnlookerBee,3.0,1,13.0,input|sep3x3_64|max_pool3x3|avg_pool3x3|dropout|max_pool3x3|output,0.6295999884605408,0.6725000143051147,4.0,59516714.0,3a9babb3595de0a99b70d4d329d10ccf2d6a6d66.h5,308.01649022102356
98,EmployeeBee,0.0,-,14.0,input|max_pool3x3|sep3x3_64|sep5x5_128|max_pool3x3|avg_pool3x3|output,0.6902999877929688,0.7038999795913696,5.0,118509034.0,01c7096babcbf078cc0d8c45452f6ec12350b753.h5,410.51028394699097
99,EmployeeBee,1.0,-,14.0,input|sep5x5_128|dropout|avg_pool3x3|max_pool3x3|avg_pool3x3|output,0.636900007724762,0.636900007724762,4.0,118501738.0,9532924cfe402623350e18c2b5887e60dfd91ec5.h5,329.005086183548
100,EmployeeBee,2.0,-,14.0,input|sep3x3_128|sep3x3_64|sep5x5_32|sep5x5_64|sep5x5_32|output,0.10000000149011612,0.6674000024795532,1.0,30047306.0,476c9def931ff66b36812cc26e7904c488306d3c.h5,84.2131552696228
101,OnlookerBee,0.0,2,14.0,input|sep3x3_128|sep3x3_64|max_pool3x3|avg_pool3x3|sep5x5_32|output,0.6787999868392944,0.6787999868392944,5.0,30040714.0,dacc91292cc733700eb570188b8e281fcc68de22.h5,388.63013076782227
102,OnlookerBee,1.0,0,14.0,input|max_pool3x3|max_pool3x3|sep5x5_128|max_pool3x3|sep3x3_32|output,0.6802999973297119,0.7038999795913696,5.0,30033418.0,c0041b16826976308b843997e9b146e2ba3bc308.h5,377.2514429092407
103,OnlookerBee,2.0,0,14.0,input|max_pool3x3|max_pool3x3|sep5x5_128|max_pool3x3|sep3x3_32|output,0.6765999794006348,0.7038999795913696,5.0,30033418.0,c0041b16826976308b843997e9b146e2ba3bc308.h5,383.60548734664917
104,OnlookerBee,3.0,2,14.0,input|sep3x3_128|sep3x3_64|max_pool3x3|sep3x3_32|sep5x5_32|output,0.6223999857902527,0.6787999868392944,4.0,30041546.0,dc573ad5ed836f9636ffc7a63e3de93993f13c0f.h5,305.06952261924744
