,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
88,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,4,0.6764,0.9489,0.8036,0.5629,17,OnlookerBee,1,3
89,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,5,0.706,1.2545,0.8829,0.3456,17,OnlookerBee,1,3
90,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,1,0.536,1.3189,0.4089,1.6756,18,OnlookerBee,2,3
91,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,2,0.639,1.0229,0.6111,1.1074,18,OnlookerBee,2,3
92,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,3,0.6861,0.9277,0.708,0.8395,18,OnlookerBee,2,3
93,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,4,0.6928,0.9225,0.7865,0.6189,18,OnlookerBee,2,3
94,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,5,0.7272,1.0009,0.8556,0.4218,18,OnlookerBee,2,3
95,input|max_pool3x3|max_pool3x3|sep5x5_64|sep5x5_128|output,1,0.5941,1.1896,0.4673,1.5301,19,OnlookerBee,3,3
96,input|max_pool3x3|max_pool3x3|sep5x5_64|sep5x5_128|output,2,0.6522,0.998,0.6597,0.9813,19,OnlookerBee,3,3
97,input|max_pool3x3|max_pool3x3|sep5x5_64|sep5x5_128|output,3,0.6712,0.9729,0.7456,0.738,19,OnlookerBee,3,3
98,input|max_pool3x3|max_pool3x3|sep5x5_64|sep5x5_128|output,4,0.7147,0.8851,0.8084,0.5568,19,OnlookerBee,3,3
99,input|max_pool3x3|max_pool3x3|sep5x5_64|sep5x5_128|output,5,0.7333,0.8697,0.862,0.3992,19,OnlookerBee,3,3
100,input|sep3x3_256|sc_3|batch_norm|sep5x5_64|sep3x3_128|output,1,0.4487,1.5946,0.4833,1.7212,20,EmployeeBee,0,4
101,input|sep3x3_256|sc_3|batch_norm|sep5x5_64|sep3x3_128|output,2,0.6915,0.8835,0.7075,0.8427,20,EmployeeBee,0,4
102,input|sep3x3_256|sc_3|batch_norm|sep5x5_64|sep3x3_128|output,3,0.6849,1.0625,0.8589,0.4126,20,EmployeeBee,0,4
103,input|sep3x3_256|sc_3|batch_norm|sep5x5_64|sep3x3_128|output,4,0.6851,1.3725,0.9387,0.1876,20,EmployeeBee,0,4
104,input|sep3x3_256|sc_3|batch_norm|sep5x5_64|sep3x3_128|output,5,0.679,1.373,0.9584,0.1281,20,EmployeeBee,0,4
105,input|sep3x3_128|dropout|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,1,0.5084,1.386,0.4675,1.7376,21,EmployeeBee,1,4
106,input|sep3x3_128|dropout|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,2,0.6697,0.9326,0.6493,1.0056,21,EmployeeBee,1,4
107,input|sep3x3_128|dropout|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,3,0.6908,0.9234,0.7568,0.7118,21,EmployeeBee,1,4
108,input|sep3x3_128|dropout|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,4,0.6831,0.9761,0.8333,0.4859,21,EmployeeBee,1,4
109,input|sep3x3_128|dropout|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,5,0.6911,0.9976,0.8864,0.3399,21,EmployeeBee,1,4
110,input|sc_1|dropout|sep3x3_128|max_pool3x3|sc_1|sep3x3_128|output,1,0.3743,2.4709,0.392,3.1777,22,EmployeeBee,2,4
111,input|sc_1|dropout|sep3x3_128|max_pool3x3|sc_1|sep3x3_128|output,2,0.5477,1.4868,0.597,1.1585,22,EmployeeBee,2,4
112,input|sc_1|dropout|sep3x3_128|max_pool3x3|sc_1|sep3x3_128|output,3,0.6567,1.116,0.6919,0.8953,22,EmployeeBee,2,4
113,input|sc_1|dropout|sep3x3_128|max_pool3x3|sc_1|sep3x3_128|output,4,0.6872,0.9706,0.7572,0.707,22,EmployeeBee,2,4
114,input|sc_1|dropout|sep3x3_128|max_pool3x3|sc_1|sep3x3_128|output,5,0.6787,1.1028,0.8144,0.5428,22,EmployeeBee,2,4
115,input|sep3x3_256|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,1,0.4944,1.4458,0.4952,1.6436,23,OnlookerBee,0,4
116,input|sep3x3_256|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,2,0.6853,0.9441,0.724,0.7991,23,OnlookerBee,0,4
117,input|sep3x3_256|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,3,0.651,1.2449,0.8838,0.3458,23,OnlookerBee,0,4
118,input|sep3x3_256|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,4,0.6832,1.3287,0.9488,0.158,23,OnlookerBee,0,4
119,input|sep3x3_256|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,5,0.694,1.9087,0.9623,0.1193,23,OnlookerBee,0,4
120,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_64|output,1,0.3935,1.8047,0.4082,2.2882,24,OnlookerBee,1,4
121,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_64|output,2,0.5381,1.3929,0.5909,1.1758,24,OnlookerBee,1,4
122,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_64|output,3,0.6695,0.9559,0.6795,0.9318,24,OnlookerBee,1,4
123,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_64|output,4,0.6818,0.9763,0.7421,0.7511,24,OnlookerBee,1,4
124,input|sc_1|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_64|output,5,0.6799,1.1513,0.7963,0.596,24,OnlookerBee,1,4
125,input|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,1,0.2411,3.11,0.3896,2.6526,25,OnlookerBee,2,4
126,input|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,2,0.4072,2.3521,0.5664,1.2307,25,OnlookerBee,2,4
127,input|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,3,0.4924,1.7472,0.6485,1.0148,25,OnlookerBee,2,4
128,input|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,4,0.5466,1.5421,0.6981,0.8721,25,OnlookerBee,2,4
129,input|dropout|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,5,0.5994,1.972,0.7366,0.7694,25,OnlookerBee,2,4
130,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|sep5x5_256|output,1,0.4757,1.4666,0.382,1.8243,26,OnlookerBee,3,4
131,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|sep5x5_256|output,2,0.6326,1.0514,0.5868,1.1656,26,OnlookerBee,3,4
132,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|sep5x5_256|output,3,0.6778,0.975,0.6929,0.8889,26,OnlookerBee,3,4
133,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|sep5x5_256|output,4,0.7056,0.9253,0.7707,0.6648,26,OnlookerBee,3,4
134,input|sep3x3_128|sep5x5_64|sc_1|sep3x3_64|sc_1|sep5x5_256|output,5,0.6693,1.123,0.8394,0.4654,26,OnlookerBee,3,4
135,input|sep3x3_256|sc_3|sep5x5_128|sep5x5_128|sep3x3_128|output,1,0.5754,1.2013,0.4882,1.6693,27,EmployeeBee,0,5
136,input|sep3x3_256|sc_3|sep5x5_128|sep5x5_128|sep3x3_128|output,2,0.6512,1.0144,0.7158,0.824,27,EmployeeBee,0,5
137,input|sep3x3_256|sc_3|sep5x5_128|sep5x5_128|sep3x3_128|output,3,0.6759,1.002,0.8817,0.3543,27,EmployeeBee,0,5
138,input|sep3x3_256|sc_3|sep5x5_128|sep5x5_128|sep3x3_128|output,4,0.6547,1.7703,0.9526,0.1456,27,EmployeeBee,0,5
139,input|sep3x3_256|sc_3|sep5x5_128|sep5x5_128|sep3x3_128|output,5,0.67,1.8689,0.9625,0.1179,27,EmployeeBee,0,5
140,input|batch_norm|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,1,0.527,1.3624,0.4767,1.4936,28,EmployeeBee,1,5
141,input|batch_norm|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,2,0.6393,1.0599,0.6745,0.9354,28,EmployeeBee,1,5
142,input|batch_norm|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,3,0.6881,0.9521,0.803,0.575,28,EmployeeBee,1,5
143,input|batch_norm|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,4,0.7,1.0515,0.9025,0.2856,28,EmployeeBee,1,5
144,input|batch_norm|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,5,0.693,1.7484,0.9459,0.166,28,EmployeeBee,1,5
145,input|sep3x3_128|batch_norm|dropout|sep5x5_64|output,1,0.3222,2.1729,0.4426,1.7551,29,EmployeeBee,2,5
